,Unnamed: 0,Unnamed: 0.1,latitude,longitude,address
0,0,0,47.2967,39.7125,"39А, проспект Космонавтов, СЖМ, Ворошиловский район, Ростов-на-Дону, городской округ Ростов-на-Дону, РОС, ЮФО, 344113, РФ"
1,1,1,55.5355,37.0632,"14, улица Пойденко, Апрелевка, Наро-Фоминский городской округ, Московская область, ЦФО, 143362, РФ"
2,2,2,52.3415,56.1589,"38, 10, улица Кирова, Тюльган, Тюльганский район, Оренбургская область, Приволжский федеральный округ, 462010, РФ"
3,3,3,51.2492,58.4552,"91, проспект Ленина, Октябрьский район, Орск, городской округ Орск, Оренбургская область, Приволжский федеральный округ, 462429, РФ"
4,4,4,59.5414,30.3814,"Строительный дворик, Железнодорожная улица, Семрино, Гатчинский район, Ленинградская область, Северо-Западный федеральный округ, 188365, РФ"
5,5,5,57.9977,56.1408,"3, Парковый проспект, Парковый, Дзержинский район, Пермь, Пермский городской округ, Пермский край, Приволжский федеральный округ, 614058, РФ"
6,6,6,55.8474,38.2007,"Пятёрочка, Новинское шоссе, городское поселение Монино, Щёлковский район, Московская область, ЦФО, 141171, РФ"
7,7,7,55.6377,37.7575,"6 к1, Ключевая улица, Братеево, район Братеево, Южный административный округ, Москва, ЦФО, 115612, РФ"
8,8,8,59.1147,28.0849,"3, улица Максима Горького, Сланцевское городское поселение, Сланцевский район, Ленинградская область, Северо-Западный федеральный округ, 188560, РФ"
9,9,9,55.2569,39.9909,"Пятёрочка, Егорьевское шоссе, Фрол, городской округ Шатура, Московская область, ЦФО, 140765, РФ"
10,10,10,57.4514,42.1357,"25А, улица Маршала Василевского, Кинешма, городской округ Кинешма, Ивановская область, ЦФО, 115603, РФ"
11,11,11,56.317,38.1108,"Пятёрочка, улица Даниила Чёрного, Троицкая Слобода, городское поселение Сергиев Посад, Сергиево-Посадский район, Московская область, ЦФО, 141301, РФ"
12,12,12,55.7781,38.6642,"79/1, улица Володарского, Старопавловский микрорайон, Павловский Посад, городской округ Павловский Посад, Московская область, ЦФО, 142500, РФ"
13,13,13,56.221,40.2657,"Новоалександрово, Владимир — Юрьев-Польский, Новоалександрово, Суздальский район, Владимирская область, ЦФО, РФ"
14,14,14,45.0405,41.9797,"242, улица Ленина, Ленинский район, Ставрополь, городской округ Ставрополь, Ставрополье, СКФО, 355000, РФ"
15,15,15,66.9612,30.3456,"улица Данилова, Алакуртти, Кандалакшский район, Мурманская область, Северо-Западный федеральный округ, РФ"
16,16,16,52.7187,41.9686,"Платоновский сельсовет, Рассказовский район, Тамбовская область, ЦФО, РФ"
17,17,17,54.6295,39.7587,"21, Подгорная улица, Кальное, Советский район, Рязань, городской округ Рязань, Рязанская область, ЦФО, 390006, РФ"
18,18,18,60.6988,60.4178,"Юбилейный, улица 60 лет ВЛКСМ, Ивдель I, Ивдель, Ивдельский городской округ, Северный управленческий округ, Свердловская область, Уральский федеральный округ, 624595, РФ"
19,19,19,56.0083,38.3841,"8, 1-я улица, Черноголовка, городской округ Черноголовка, Московская область, ЦФО, 142432, РФ"
20,20,20,53.1038,34.0636,"1, улица Ломоносова, Выгоничи, Выгоничский район, Брянская область, ЦФО, 243371, РФ"
21,21,21,51.7665,55.0967,"11, улица Володарского, Ленинский район, Оренбург, городской округ Оренбург, Оренбургская область, Приволжский федеральный округ, 460000, РФ"
22,22,22,56.3186,44.0521,"Пятёрочка, 15А, улица Родионова, Нижегородский район, Нижний Новгород, городской округ Нижний Новгород, Нижегородская область, Приволжский федеральный округ, 603093, РФ"
23,23,23,56.7605,61.4131,"262, улица Ленина, Белоярский, Белоярский городской округ, Южный управленческий округ, Свердловская область, Уральский федеральный округ, 624030, РФ"
24,24,24,55.5822,39.5228,"1, Спортивная улица, Шатура, городской округ Шатура, Московская область, ЦФО, 140704, РФ"
25,25,25,55.72681827,38.33830401,"16, Рабочая улица, имени Воровского, Богородский городской округ, Московская область, ЦФО, 142460, РФ"
26,26,26,56.327443,36.70655986,"1, Волоколамское шоссе, Клин, городской округ Клин, Московская область, ЦФО, 141607, РФ"
27,27,27,56.4358,38.2442,"Монетка, 10, улица 50 лет Октября, городское поселение Краснозаводск, Сергиево-Посадский район, Московская область, ЦФО, 141321, РФ"
28,28,28,55.1763,61.2999,"40В, улица Чичерина, Тополиная аллея, Калининский район, Челябинск, Челябинский городской округ, Челябинская область, Уральский федеральный округ, 454003, РФ"
29,29,29,61.8129,51.5789,"Советская улица, Корткерос, Корткеросский район, Республика Коми, Северо-Западный федеральный округ, 168020, РФ"
30,30,30,55.60553466,36.4919727,"Пятёрочка, 46К-1152, Трутеево, Тучково, Рузский городской округ, Московская область, ЦФО, 143130, РФ"
31,31,31,48.6898,44.3135,"улица Валентины Терешковой, Максима Горького, Горьковский, Советский район, Волгоград, городской округ Волгоград, Волгоградская область, ЮФО, 400038, РФ"
32,32,32,52.3188,42.4948,"Инжавино, Инжавинский район, Тамбовская область, ЦФО, РФ"
33,33,33,58.0885,56.4026,"Микрорайон Кислотные дачи, Молдавская улица, Кислотные дачи, Орджоникидзевский район, Пермь, Пермский городской округ, Пермский край, Приволжский федеральный округ, 614104, РФ"
34,34,34,55.7556,49.242,"38, улица Комиссара Габишева, ЖК «Изумрудный город», Советский район, Казань, городской округ Казань, Татарстан, Приволжский федеральный округ, 420138, РФ"
35,35,35,59.862,38.3784,"72, улица Ленина, Кириллов, Кирилловский район, Вологодская область, Северо-Западный федеральный округ, 161101, РФ"
36,36,36,55.5483,38.2517,"Пятёрочка, Садовая улица, Заболотьевское сельское поселение, Раменский район, Московская область, ЦФО, 128140, РФ"
37,37,37,57.1269,35.4641,"Пятерочка, Советская улица, городское поселение Лихославль, Лихославльский район, Тверская область, ЦФО, 171210, РФ"
38,38,38,52.7074,41.4476,"101, Лермонтовская улица, Советский район, Тамбов, городской округ Тамбов, Тамбовская область, ЦФО, 392036, РФ"
39,39,39,55.8065,37.7201,"11, Просторная улица, Черкизово, район Преображенское, Восточный административный округ, Москва, ЦФО, 107392, РФ"
40,40,40,58.4636,36.415,"Пятерочка, 14/7, Советская улица, городское поселение Сандово, Сандовский район, Тверская область, ЦФО, 171750, РФ"
41,41,41,55.7652,37.4873,"Дом быта, 10 к3, Филёвский бульвар, Филёвская пойма, район Филёвский Парк, Западный административный округ, Москва, ЦФО, 121601, РФ"
42,42,42,44.5983,38.0307,"8, Солнцедарская улица, Северный микрорайон, Геленджик, городской округ Геленджик, Краснодарский край, ЮФО, 353468, РФ"
43,43,43,53.3487,55.9341,"47, улица Калинина, Салават, городской округ Салават, Башкортостан, Приволжский федеральный округ, 453260, РФ"
44,44,44,51.4962,40.4364,"улица Ватутина, Аннинское городское поселение, Аннинский район, Воронежская область, ЦФО, 396252, РФ"
45,45,45,55.8701,41.773,"89, Комсомольская улица, Ершово, городское поселение Красная Горбатка, Селивановский район, Владимирская область, ЦФО, 602330, РФ"
46,46,46,54.9925,73.2794,"7, улица Путилова, 3-й микрорайон, Кировский административный округ, Омск, городской округ Омск, Омская область, СФО, 644092, РФ"
47,47,47,53.5306,43.6768,"Октябрьская улица, городское поселение Нижний Ломов, Нижнеломовский район, Пензенская область, Приволжский федеральный округ, 442150, РФ"
48,48,48,46.3412,48.0597,"Пятёрочка, 207, Красная набережная, Астрахань, городской округ Астрахань, Астраханская область, ЮФО, 414000, РФ"
49,49,49,55.5971,37.9867,"35, Подмосковная улица, Новые Островцы, Островецкое сельское поселение, Раменский район, Московская область, ЦФО, 140060, РФ"
50,50,50,56.0311,35.51300000000001,"26, 1-я Советская улица, Шаховская, городской округ Шаховская, Московская область, ЦФО, 143700, РФ"
51,51,51,55.7909,37.7082,"32, Электрозаводская улица, Преображенское, район Преображенское, Восточный административный округ, Москва, ЦФО, 107023, РФ"
52,52,52,53.2356,50.2564,"Ливенская улица, пос. Восточный, Кировский район, Самара, городской округ Самара, Самарская область, Приволжский федеральный округ, 443105, РФ"
53,53,53,63.2049,75.4707,"11, улица Высоцкого, Ноябрьск, городской округ Ноябрьск, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629823, РФ"
54,54,54,54.971,73.4528,"20/2, Космический проспект, Космос, Октябрьский административный округ, Омск, городской округ Омск, Омская область, СФО, 644000, РФ"
55,55,55,44.6247,41.9446,"Невинномысск, Революционная улица, Невинномысск, городской округ Невинномысск, Ставрополье, СКФО, 357100, РФ"
56,56,56,54.805,56.12300000000001,"5, улица Орджоникидзе, Инорс, Калининский район, Уфа, городской округ Уфа, Башкортостан, Приволжский федеральный округ, 450068, РФ"
57,57,57,56.3104,43.9217,"80, Зеленодольская улица, посёлок Володарского, Канавинский район, Нижний Новгород, городской округ Нижний Новгород, Нижегородская область, Приволжский федеральный округ, 603010, РФ"
58,58,58,47.2383,39.8336,"312 к3А, проспект 40-летия Победы, Александровка, Пролетарский район, Ростов-на-Дону, городской округ Ростов-на-Дону, РОС, ЮФО, 346720, РФ"
59,59,59,56.5103,85.0259,"10, улица Суворова, 2-й микрорайон, Октябрьский район, Томск, городской округ Томск, Томская область, СФО, 634063, РФ"
60,60,60,56.227,50.0015,"Урнякское сельское поселение, Арский район, Татарстан, Приволжский федеральный округ, 422019, РФ"
61,61,61,56.1811,35.5534,"46К-1121, Михалёво, Лотошинский район, Московская область, ЦФО, 143814, РФ"
62,62,62,54.4262,48.1726,"улица Капитана Каравашкина, Тимирязевский, Ульяновский район, Ульяновская область, Приволжский федеральный округ, 433315, РФ"
63,63,63,56.3462,30.5013,"5, Дворецкая улица, Смоляниново, Великие Луки, городской округ Великие Луки, Псковская область, Северо-Западный федеральный округ, 182100, РФ"
64,64,64,54.5993,39.7216,"1 с1, Берёзовая улица, Сысоево, Железнодорожный район, Рязань, городской округ Рязань, Рязанская область, ЦФО, 390035, РФ"
65,65,65,53.3603,83.6983,"196А, улица Антона Петрова, Ленинский район, Барнаул, городской округ Барнаул, Алтайский край, СФО, 656054, РФ"
66,66,66,56.1842,52.4778,"Алнашское сельское поселение, Алнашский район, Удмуртия, Приволжский федеральный округ, 427880, РФ"
